run_id,nose_frac,nose_power,tail_frac,backlight_deg,boattail_deg,frontal_area_m2,stl_file,Cd,Cl,drag_N,lift_N
run_085,0.22033,2.76586,0.22740,12.07141,19.19984,0.10484,geometries/run_085.stl,0.11214,-0.14713,6.4808,-8.5031
run_086,0.17012,2.06725,0.25896,13.99209,1.99331,0.10484,geometries/run_086.stl,0.21515,0.04083,12.4343,2.3598
run_087,0.17466,3.76823,0.36562,18.17809,11.89500,0.10484,geometries/run_087.stl,0.12980,-0.09117,7.5018,-5.2689
run_088,0.24025,1.83010,0.36722,19.12645,3.28821,0.10484,geometries/run_088.stl,0.14929,0.09343,8.6278,5.3993
run_089,0.15048,3.93791,0.38831,19.57198,10.39728,0.10484,geometries/run_089.stl,0.13731,-0.06605,7.9354,-3.8174
run_090,0.32826,3.37741,0.26519,15.38060,10.81805,0.10484,geometries/run_090.stl,0.13593,-0.03376,7.8559,-1.9511
run_091,0.18303,2.22958,0.36154,23.37832,12.06060,0.10484,geometries/run_091.stl,0.10751,-0.03671,6.2135,-2.1218
run_092,0.16905,2.55948,0.17720,13.27055,19.73700,0.10484,geometries/run_092.stl,0.13666,-0.11773,7.8980,-6.8041
run_093,0.28217,2.92397,0.29596,16.42741,9.74861,0.10484,geometries/run_093.stl,0.12819,-0.02855,7.4082,-1.6502
run_094,0.31599,3.74012,0.16017,27.05540,12.78699,0.10484,geometries/run_094.stl,0.19289,0.10991,11.1475,6.3522
run_095,0.33283,3.51192,0.23414,22.78445,1.26470,0.10484,geometries/run_095.stl,0.22374,0.19041,12.9309,11.0044
run_096,0.16432,2.30797,0.33627,23.68395,12.99399,0.10484,geometries/run_096.stl,0.12120,-0.03999,7.0046,-2.3114
run_097,0.20264,2.84429,0.28703,6.13074,6.57237,0.10484,geometries/run_097.stl,0.15661,-0.12258,9.0509,-7.0842
run_098,0.21050,3.13233,0.16947,8.68412,17.36876,0.10484,geometries/run_098.stl,0.14440,-0.15018,8.3453,-8.6795
run_099,0.23242,1.57435,0.17370,24.09153,2.91454,0.10484,geometries/run_099.stl,0.23811,0.16226,13.7612,9.3773
run_100,0.27377,2.79403,0.22308,11.56174,6.24662,0.10484,geometries/run_100.stl,0.17815,-0.02631,10.2959,-1.5205
run_101,0.23867,1.91012,0.35659,13.43872,7.31402,0.10484,geometries/run_101.stl,0.12903,-0.04350,7.4571,-2.5137
run_102,0.24821,3.21163,0.37072,8.27487,0.61098,0.10484,geometries/run_102.stl,0.20512,-0.02232,11.8545,-1.2897
run_103,0.22305,2.82679,0.35262,29.58027,15.19547,0.10484,geometries/run_103.stl,0.10529,-0.06226,6.0851,-3.5980
run_104,0.29357,2.20058,0.27468,25.91649,11.48005,0.10484,geometries/run_104.stl,0.12693,0.06379,7.3356,3.6865
run_105,0.34439,3.87587,0.15626,19.83914,4.61484,0.10484,geometries/run_105.stl,0.22684,0.10857,13.1095,6.2745
run_106,0.30219,2.08947,0.28461,16.74148,18.83155,0.10484,geometries/run_106.stl,0.08478,-0.08960,4.8995,-5.1782
run_107,0.21465,3.86406,0.21424,16.00710,17.86062,0.10484,geometries/run_107.stl,0.13191,-0.09320,7.6232,-5.3864
run_108,0.19668,1.73842,0.20242,24.37702,2.30973,0.10484,geometries/run_108.stl,0.23162,0.17088,13.3861,9.8755
run_109,0.33592,1.65849,0.22692,10.67597,2.42770,0.10484,geometries/run_109.stl,0.20255,0.02010,11.7060,1.1618
run_110,0.21922,2.68436,0.25171,28.35269,18.49256,0.10484,geometries/run_110.stl,0.14974,0.01850,8.6538,1.0694
run_111,0.26961,3.26475,0.28231,14.66949,1.41779,0.10484,geometries/run_111.stl,0.20444,0.06397,11.8155,3.6973
run_112,0.25819,2.16159,0.29199,12.57550,10.22514,0.10484,geometries/run_112.stl,0.12163,-0.06598,7.0295,-3.8134
run_113,0.17555,2.62994,0.34988,18.04862,19.91008,0.10484,geometries/run_113.stl,0.08498,-0.15060,4.9115,-8.7034
run_114,0.17944,2.89907,0.37608,20.88154,6.69133,0.10484,geometries/run_114.stl,0.13969,0.03184,8.0733,1.8402
run_115,0.28916,2.33522,0.18211,28.98953,12.60990,0.10484,geometries/run_115.stl,0.18404,0.13961,10.6363,8.0686
run_116,0.16750,3.65560,0.34353,25.33363,11.51378,0.10484,geometries/run_116.stl,0.14183,-0.01453,8.1966,-0.8397
run_117,0.18395,3.01714,0.37429,9.12675,12.49586,0.10484,geometries/run_117.stl,0.10248,-0.15695,5.9224,-9.0708
run_118,0.34012,2.32400,0.38061,21.75032,9.66545,0.10484,geometries/run_118.stl,0.09106,0.01505,5.2625,0.8699
run_119,0.22787,3.04785,0.16118,17.29546,16.39661,0.10484,geometries/run_119.stl,0.14117,-0.02654,8.1587,-1.5337
